"White population","Black population","Grey population","Global temperature"
"662","0","174","16.776547764367958"
"660","0","169","16.522454388865047"
"670","0","167","16.490561792190324"
"663","0","167","16.09018715079088"
"655","0","170","16.114575826103465"
"661","0","166","16.420860162113463"
"670","0","164","16.35069449883594"
"676","0","158","15.994790767948361"
"667","0","163","15.64908694390957"
"668","0","166","15.786411074318497"
"662","0","172","15.770826562188336"
"657","0","175","15.944733974638908"
"664","0","174","16.182293731574802"
"660","0","178","16.027976430374878"
"651","0","183","16.05877671094844"
"654","0","186","16.390166884971205"
"646","0","186","16.421525793676064"
"644","0","184","16.75714459470123"
"642","0","187","17.015167229664467"
"649","0","181","17.206749408179448"
"653","0","175","17.088454129781937"
"652","0","174","16.937501574773556"
"657","0","170","16.908218776864526"
"647","0","177","16.7220666661225"
"651","0","176","16.959327657173404"
"650","0","179","16.939054586017658"
"647","0","179","16.930809636944304"
"645","0","184","17.056878521706015"
"649","0","189","17.15296005374726"
"646","0","185","17.01726645104949"
"641","0","189","17.07772910091243"
"632","0","191","17.263917816450206"
"634","0","192","17.681561650923236"
"647","0","188","17.812381492548752"
"638","0","191","17.40569066006116"
"648","0","185","17.521307318280623"
"650","0","182","17.24504514384237"
"646","0","185","17.084812721975258"
