"White population","Black population","Grey population","Global temperature"
"351","0","0","64.2094111712695"
"350","0","0","64.30378856224955"
"349","0","0","64.39373559108428"
"350","0","0","64.46956090484346"
"349","0","0","64.47793811927983"
"349","0","0","64.52463027429074"
"349","0","0","64.55021863693713"
"348","0","0","64.56407828092534"
"348","0","0","64.61135321309872"
"348","0","0","64.63650277919882"
"345","0","0","64.64987671648356"
"346","0","0","64.7694132173934"
"345","0","0","64.79771259681304"
"345","0","0","64.85408852980491"
"344","0","0","64.88458154282424"
"343","0","0","64.94080436915128"
"343","0","0","65.01057186926941"
"343","0","0","65.0476073344939"
"342","0","0","65.06723258194415"
"343","0","0","65.11040417059688"
"343","0","0","65.09809925893445"
"341","0","0","65.09306377300643"
"341","0","0","65.16352452777141"
"341","0","0","65.19808021445922"
"342","0","0","65.21009128437616"
"342","0","0","65.18662453590436"
"342","0","0","65.17739551449685"
"340","0","0","65.17360856881585"
"338","0","0","65.25163789873253"
"338","0","0","65.36116978413273"
"338","0","0","65.42673919438975"
"338","0","0","65.46361537195648"
"337","0","0","65.48378267084516"
"336","0","0","65.53447767150206"
"337","0","0","65.60127216293596"
"334","0","0","65.59695040323803"
"333","0","0","65.71476842306917"
"333","0","0","65.81060306851094"
"332","0","0","65.86637110772692"
"333","0","0","65.93042906028515"
"331","0","0","65.92984806189294"
"330","0","0","66.01092591824094"
"328","0","0","66.09445006019212"
"327","0","0","66.2187011316053"
"327","0","0","66.32462520826688"
"325","0","0","66.38087651342231"
"325","0","0","66.48332261613197"
"325","0","0","66.53529343504569"
"325","0","0","66.56198548570386"
"325","0","0","66.57580122431463"
"325","0","0","66.58298885931895"
"324","0","0","66.58674158217256"
"324","0","0","66.62852375178183"
"324","0","0","66.6507073410063"
"323","0","0","66.66248631627343"
"324","0","0","66.6968476857671"
"324","0","0","66.68326132231778"
"324","0","0","66.67851324295106"
"324","0","0","66.67680194967888"
"323","0","0","66.67617455217358"
"322","0","0","66.71576190287479"
"322","0","0","66.77599097994361"
"322","0","0","66.80755041669562"
"321","0","0","66.82407767761096"
"321","0","0","66.87255522636936"
"319","0","0","66.8982496186767"
"318","0","0","66.99150582204209"
"317","0","0","67.08085119822437"
"317","0","0","67.16812617752562"
"316","0","0","67.21448139649868"
"315","0","0","67.27188870187274"
"316","0","0","67.3327538280317"
"315","0","0","67.32898408800568"
"315","0","0","67.36094033018229"
"315","0","0","67.37589838175442"
"315","0","0","67.37801707916397"
"314","0","0","67.38938091024558"
"314","0","0","67.43860475524447"
"313","0","0","67.46593404826258"
"311","0","0","67.52070635405376"
"310","0","0","67.62960844157317"
"311","0","0","67.71497860316416"
"311","0","0","67.72806742677783"
"310","0","0","67.73725817656347"
"309","0","0","67.78265221571961"
"308","0","0","67.84680978866277"
"307","0","0","67.92078638508094"
"305","0","0","67.99993011289484"
"305","0","0","68.1216197754148"
"303","0","0","68.18627069606414"
"303","0","0","68.30025306695806"
"302","0","0","68.36080607325918"
